Oz: The Great and Powerful,2013,5,James Franco,Oz,Mila Kunis,Theodora,Rachel Weisz,Evanora,Michelle Williams,Annie and Glinda,Zach Braff,Frank and Finley
The Amazing Spider-Man 2,2014,5,Andrew Garfield,Peter Parker and Spider-Man,Emma Stone,Gwen Stacy,Jamie Foxx,Max Dillon and Electro,Dane DeHaan,Harry Osborn and Green Goblin,Campbell Scott,Richard Parker
TRON: Legacy,2010,5,Garrett Hedlund,Sam Flynn,Jeff Bridges,Kevin Flynn and Clu,Olivia Wilde,Quorra,Bruce Boxleitner,Alan Bradley and Tron,Yaya DaCosta,Siren
Cars 2,2011,5,Owen Wilson,Lightning McQueen (voice),Larry the Cable Guy,Mater (voice),Michael Caine,Finn McMissile (voice),Emily Mortimer,Holley Shiftwell (voice),John Turturro,Francesco Bernoulli (voice)
Green Lantern,2011,5,Ryan Reynolds,Hal Jordan and Green Lantern,Blake Lively,Carol Ferris,Peter Sarsgaard,Hector Hammond,Tim Robbins,Senator Hammond,Mark Strong,Sinestro
Toy Story 3,2010,5,Tom Hanks,Woody (voice),Tim Allen,Buzz Lightyear (voice),Ned Beatty,Lotso (voice),Joan Cusack,Jessie the Yodeling Cowgirl (voice),Michael Keaton,Ken (voice)
Terminator Salvation,2009,5,Christian Bale,John Connor,Sam Worthington,Marcus Wright,Anton Yelchin,Kyle Reese,Moon Bloodgood,Blair Williams,Bryce Dallas Howard,Kate Connor
Furious 7,2015,5,Vin Diesel,Dominic Toretto,Paul Walker,Brian O'Conner,Dwayne Johnson,Hobbs,Michelle Rodriguez,Letty,Tyrese Gibson,Roman
World War Z,2013,5,Brad Pitt,Gerry Lane,Mireille Enos,Karen Lane,Abigail Hargrove,Rachel Lane,Sterling Jerins,Constance Lane,James Badge Dale,Captain Speke
X-Men: Days of Future Past,2014,5,Hugh Jackman,Logan and Wolverine,James McAvoy,Charles Xavier and Professor X (Young),Michael Fassbender,Erik Lehnsherr and Magneto (Young),Jennifer Lawrence,Raven Darkholme and Mystique,Halle Berry,Ororo Munroe and Storm
Star Trek Into Darkness,2013,5,Chris Pine,James T. Kirk,Zachary Quinto,Spock,Zoe Saldana,Nyota Uhura,Karl Urban,Dr. Leonard 'Bones' McCoy,Simon Pegg,Montgomery 'Scotty' Scott
Jack the Giant Slayer,2013,5,Nicholas Hoult,Jack,Eleanor Tomlinson,Princess Isabelle,Ewan McGregor,Elmont,Stanley Tucci,Roderick,Ian McShane,King Brahmwell
The Great Gatsby,2013,5,Leonardo DiCaprio,Jay Gatsby,Tobey Maguire,Nick Carraway,Carey Mulligan,Daisy Buchanan,Joel Edgerton,Tom Buchanan,Elizabeth Debicki,Jordan Baker
Prince of Persia: The Sands of Time,2010,5,Jake Gyllenhaal,Prince Dastan,Gemma Arterton,Tamina,Ben Kingsley,Nizam,Alfred Molina,Sheik Amar,Steve Toussaint,Seso
Pacific Rim,2013,5,Idris Elba,Stacker Pentecost,Charlie Hunnam,Raleigh Becket,Charlie Day,Dr. Newton Geiszler,Ron Perlman,Hannibal Chau,Burn Gorman,Gottlieb
Transformers: Dark of the Moon,2011,5,Shia LaBeouf,Sam Witwicky,John Malkovich,Bruce Brazos,Ken Jeong,Jerry Wang,Frances McDormand,National Intelligence Director,Josh Duhamel,Lt. Colonel William Lennox
Indiana Jones and the Kingdom of the Crystal Skull,2008,5,Harrison Ford,Indiana Jones,Cate Blanchett,Irina Spalko,Shia LaBeouf,Mutt Williams,Ray Winstone,'Mac' George Michale,Karen Allen,Marion Ravenwood
The Good Dinosaur,2015,5,Raymond Ochoa,Arlo (voice),Jack Bright,Spot (voice),Jeffrey Wright,Poppa (voice),Frances McDormand,Momma (voice),Maleah Nipay-Padilla,Young Libby (voice)
Brave,2012,5,Kelly Macdonald,Mérida (voice),Julie Walters,The Witch (voice),Billy Connolly,King Fergus (voice),Emma Thompson,Queen Elinor (voice),Kevin McKidd,Lord MacGuffin and Young MacGuffin (voice)
Star Trek Beyond,2016,5,Chris Pine,James T. Kirk,Zachary Quinto,Spock,Karl Urban,Dr. Leonard 'Bones' McCoy,Simon Pegg,Montgomery 'Scotty' Scott,Zoe Saldana,Nyota Uhura
WALL·E,2008,5,Ben Burtt,WALL·E and M-O (voice),Elissa Knight,EVE (voice),Jeff Garlin,Captain (voice),Fred Willard,Shelby Forthright, BnL CEO,John Ratzenberger,John (voice)
Rush Hour 3,2007,5,Chris Tucker,Det. James Carter,Jackie Chan,Chief Insp. Lee,Hiroyuki Sanada,Kenji,Max von Sydow,Varden Reynard,Yvan Attal,George
2012,2009,5,John Cusack,Jackson Curtis,Amanda Peet,Kate Curtis,Chiwetel Ejiofor,Adrian Helmsley,Thandie Newton,Laura Wilson,Oliver Platt,Carl Anheuser
